Title,Company,Location,Salary,Description,Job_Type,Date_posted
newFind jobs with Flexible Hours!,Indeed Gigs,"Bronx, NY+4 locations",NA,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!",Part-time +2,PostedToday
Door Attendant,Guesthouse NY,"New York, NY 10014 (West Village area)",NA,Ensure all guests arriving and departing are greeted in a professional and personable manner.Knowledgeable of the community and area in which the Guesthouse is…,$35 an hour,EmployerActive 1 day ago
"Overnight- Houseman, Bellmen",Guesthouse NY,"New York, NY 10014 (West Village area)",NA,"RH is seeking a Overnight Guesthouse Public Area Attendant, Houseman to join our team in providing world-class service to our guests while taking great care of…",$26 an hour,EmployerActive 1 day ago
"Housemen, Bellmen",RH Guesthouse NY,"New York, NY 10014 (West Village area)",NA,Ensure all guest interactions and greetings are conducted in a professional and courteous manner.Pick up and deliver guest laundry.,$25 an hour,EmployerActive 1 day ago
newDental Receptionist FT No Evenings No Weekends,Confidential,"New York, NY 10023 (Upper West Side area)",NA,Dental Receptionist full time needed for prestigious Central Park West dental office.Candidate MUST HAVE PREVIOUS EXPERIENCE SPECIFICALLY IN DENTAL RECEPTION.,$18 - $26 an hour,Posted2 days ago
newMedical Receptionist/Assistant,Medical Office,"Riverdale, NY 10463 (Kings Bridge area)+1 location",NA,"Duties also include patient chart maintenance, insurance verification, obtaining authorizations, collecting co-payments, answering phones, and making/following…",$19 - $22 an hour,EmployerActive 4 days ago
newNow Hiring! Front Desk Associates - West Fordham,Blink Fitness,"Bronx, NY 10468 (Fordham area)+4 locations",NA,Answer phone calls in a professional and energetic manner.Greet every member and guest with enthusiasm and a smile.World class customer service skills.,Part-time,Posted1 day ago
Overnight Door Attendant,Guesthouse NY,"New York, NY 10014 (West Village area)",NA,Ensure all guests arriving and departing are greeted in a professional and personable manner.Knowledgeable of the community and area in which the Guesthouse is…,$40 an hour,EmployerActive 1 day ago
newFull-Time Store Associate,ALDI,"Bronx, NY+3 locations",NA,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.,$18 an hour,Posted5 days ago
Cashier,Snipes,"Bronx, NY 10455 (South Bronx area)+4 locations",NA,Demonstrate leadership in driving sales and profitability by achieving or exceeding all established store and individual goals.,Part-time,Posted10 days ago
newCOVID-19 Screener,ProHEALTH Medical Management,"Bronx, NY 10461 (Parkchester area)",NA,"We have teams of medical assistants, front desk staff and providers out on the field offering Rapid and Swabbed COVID-19 testing, 7 days a week, to production…",Full-time,PostedToday
newPatient Assistant,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)+1 location",NA,"Demonstrated ability to communicate clearly with staff, patients, and visitors.Patient Assistants Make It Possible.Experience as a Nurse’s Aide or equivalent.",Full-time,Posted2 days ago
newTeam Member,Applebee's,"Bronx, NY 10451 (South Bronx area)",NA,"_(Must be 18 Years or older to apply)_*.At Applebee’s, our team members enjoy flexible hours, competitive pay, extensive training, and meal discounts.",$15 - $22 an hour,Posted1 day ago
newFront Desk Associate,New Age Property Associates,"New York, NY 10017 (Midtown area)",NA,Answer all incoming calls and redirect them or keep messages.The goal is to make guests and visitors feel comfortable and valued while on our premises.,$19.25 - $23.00 an hour,Posted2 days ago
newTeam Lead,Walmart,"New York, NY 10018 (Hell's Kitchen area)",NA,"Have reliable transportation to travel to different stores and possess a valid driver’s license.Manage project budget, including travel expenses.",From $31.25 an hour,Posted2 days ago
Cashier,Snipes,"Bronx, NY 10455 (South Bronx area)+4 locations",NA,"We are deeply engrained in our neighborhoods and work with many local partners to provide experiences and tell our stories – be it at food drives, music…",Part-time,Posted10 days ago
newPatient Registrar - The Center on Aging - Weill Cornell,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)+1 location",NA,You'll record patient history while obtaining pre-certification and authorization for patients.Qualified candidates have at least one year of clerical…,Full-time,PostedToday
newPatient Assistant,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)+1 location",NA,"Demonstrated ability to communicate clearly with staff, patients, and visitors.Gather essential clinical information and observe and report patient status…",Full-time,Posted2 days ago
Overnight Door Attendant,Guesthouse NY,"New York, NY 10014 (West Village area)",NA,"People who see the answer in every problem, versus those who see the problem in every answer.RH is seeking a Guesthouse Door Associate to join our team in…",$40 an hour,EmployerActive 1 day ago
newCrew Member,02793 McDonald's Jerome,"Bronx, NY 10453 (Morris Heights area)+20 locations",NA,"The Fonseca Organization is a family owned business since 1980 that started with 2 restaurants, we have now grown into over 25 restaurants throughout 4 states!",Part-time +1,Posted2 days ago
newCustomer Service Associate,WALGREENS,"Bronx, NY 10472 (Soundview area)+12 locations",NA,"Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and…",Part-time,Posted2 days ago
newSeasonal Sales Associate - The Hub - Carter's,Carter's | OshKosh B'gosh Retail,"Bronx, NY 10455 (South Bronx area)+1 location",NA,"Establish and maintain customer focus; resolve customer issues, meet customers' needs, execute point of sale transactions.Come grow your career with us!",Temporary +2,Posted3 days ago
Event Staff (Dishwashers & Porters),The Standard,"Bronx, NY 10460 (South Bronx area)",NA,"Currently hiring for a variety of event staff for per diem assignments in the Bronx.Dishwashers & Porters - $18/hr.Job Types: Part-time, Temporary.",$18 an hour,EmployerActive 3 days ago
newAssistant Bookkeeper,Orwashers Wholesale Bread Bakery,"Bronx, NY 10474 (Hunts Point area)",NA,"Orwashers Bakery, New York’s Original Artisan Bakery, is looking for an Assistant Bookkeeper to join our team.Quickbooks experience is a must!*.",From $22 an hour,PostedJust posted
newMember Expierence Ambassador -Part Time,"BJ's Wholesale Club, Inc.","Bronx, NY+1 location",NA,Must successfully complete required training and certification processes.Records register receipt discrepancies and notifies front line to immediately rectify…,Part-time,Posted7 days ago
Laundry Associate,CRC Management Co LLC,"Bronx, NY 10453 (Morris Heights area)",NA,Responsible for accurately utilizing the cash register or point of retail sale computer.Accurately and always utilizes log books; knows how to choose the right…,Part-time +1,EmployerActive 9 days ago
newLaborer,The City University of New York (CUNY),"Bronx, NY",NA,"There may be certain age requirements to obtain this license.A four-year Hispanic-Serving Institution in the Bronx, Lehman offers bachelor’s, master’s, and…","$75,690 a year",Posted2 days ago
newProgram Associate,Fidelis Care,"Remote in New York, NY+1 location",NA,Places follow-up telephone calls.Handles follow-up telephone calls.Handles data entry and maintains database.Assists in preparing monthly audits.,NA,PostedToday
newCustomer Service Concierge - Bronx NY,Securitas,"Bronx, NY 10451 (South Bronx area)",NA,"Must be able to meet and continue to meet any applicable state, county and municipal licensing requirements for Security Officers.EOE/M/F/Vet/Disabilities.",Part-time,Posted1 day ago
